task,seed,outer_fold,condition,condition_name,model,pearson_r,rmse,mae,n_train,n_test
working_memory,0,0,R0,Same-solver no prior,FC,0.1096029516007761,12.547446463935351,10.392120054882012,329,83
working_memory,0,0,R0,Same-solver no prior,SC,0.023785645476149364,10.857320783613266,8.995294779982327,329,83
working_memory,0,0,R0,Same-solver no prior,FP,0.1964792714174475,10.43448063617856,8.754485183102084,329,83
working_memory,0,0,R0,Same-solver no prior,fused,0.10702666823993774,11.198542577259946,9.221272100868953,329,83
working_memory,0,0,R0,Same-solver no prior,equal_weight,0.09765510126604021,10.660919398405271,8.772729258711843,329,83
working_memory,0,1,R0,Same-solver no prior,FC,0.2237641420265108,12.214787373731113,10.129159698366971,329,83
working_memory,0,1,R0,Same-solver no prior,SC,0.21558221350616558,11.216293245520712,8.864305298276777,329,83
working_memory,0,1,R0,Same-solver no prior,FP,0.18577704988067276,11.44904949504361,9.28773403248223,329,83
working_memory,0,1,R0,Same-solver no prior,fused,0.25239524027292115,11.30809743698019,9.31831013027532,329,83
working_memory,0,1,R0,Same-solver no prior,equal_weight,0.27405138855229266,10.810386082891414,8.694171265442433,329,83
working_memory,0,2,R0,Same-solver no prior,FC,0.1685160003819302,13.299255478325943,10.101068328393021,330,82
working_memory,0,2,R0,Same-solver no prior,SC,0.2031359119450421,12.176341208668152,9.596286342811371,330,82
working_memory,0,2,R0,Same-solver no prior,FP,0.169385891520011,13.237791924970454,10.064434071029572,330,82
working_memory,0,2,R0,Same-solver no prior,fused,0.21915295637139817,12.130781227520037,9.197707254522086,330,82
working_memory,0,2,R0,Same-solver no prior,equal_weight,0.23733595800101565,11.87081608723011,9.056577321046989,330,82
working_memory,0,3,R0,Same-solver no prior,FC,0.41148067169408975,11.0103425177745,9.358325458676655,330,82
working_memory,0,3,R0,Same-solver no prior,SC,0.13368703342062013,11.896707163315615,9.864810877442466,330,82
working_memory,0,3,R0,Same-solver no prior,FP,0.4377431809468755,10.297719669166678,8.793502115904968,330,82
working_memory,0,3,R0,Same-solver no prior,fused,0.40296651458738003,10.524664074569488,8.85165107928133,330,82
working_memory,0,3,R0,Same-solver no prior,equal_weight,0.38583585380504326,10.584174906132606,8.932522967029,330,82
working_memory,0,4,R0,Same-solver no prior,FC,0.29188663649529883,13.756908616324663,11.435498620341678,330,82
working_memory,0,4,R0,Same-solver no prior,SC,0.1966043792971892,13.798974767477036,11.040710069044442,330,82
working_memory,0,4,R0,Same-solver no prior,FP,0.339318325637163,12.925293243673629,10.716934234471257,330,82
working_memory,0,4,R0,Same-solver no prior,fused,0.3197125743215864,13.110914509263706,10.942902540413671,330,82
working_memory,0,4,R0,Same-solver no prior,equal_weight,0.32702958989178244,12.990599811815553,10.765088046788728,330,82
working_memory,1,0,R0,Same-solver no prior,FC,0.48838527459024383,10.523026081139273,9.017446374058048,329,83
working_memory,1,0,R0,Same-solver no prior,SC,0.26691832496707435,11.031901405780012,9.140436510853709,329,83
working_memory,1,0,R0,Same-solver no prior,FP,0.5052481462587364,9.694421707551573,8.142115384281157,329,83
working_memory,1,0,R0,Same-solver no prior,fused,0.5091417281527253,9.64887210483868,8.252252658418183,329,83
working_memory,1,0,R0,Same-solver no prior,equal_weight,0.5091417281527253,9.64887210483868,8.252252658418183,329,83
working_memory,1,1,R0,Same-solver no prior,FC,0.13260232716977488,13.340319199044513,10.494777683755485,329,83
working_memory,1,1,R0,Same-solver no prior,SC,-0.003393335705033279,13.012315515617694,10.47765455802252,329,83
working_memory,1,1,R0,Same-solver no prior,FP,0.12353342742996763,12.499277178102124,10.125600794299931,329,83
working_memory,1,1,R0,Same-solver no prior,fused,0.1046026576541091,12.446066747502314,10.01378388143481,329,83
working_memory,1,1,R0,Same-solver no prior,equal_weight,0.09793649213556088,12.42089991142375,10.010215226408578,329,83
working_memory,1,2,R0,Same-solver no prior,FC,0.1814001034684659,12.611181733902807,10.417508403277436,330,82
working_memory,1,2,R0,Same-solver no prior,SC,0.05647282272038237,12.679914024361944,10.68263963552131,330,82
working_memory,1,2,R0,Same-solver no prior,FP,0.2545236412639775,11.365375023902626,9.617401945366133,330,82
working_memory,1,2,R0,Same-solver no prior,fused,0.14440260380515077,11.912644372509872,10.065985724414478,330,82
working_memory,1,2,R0,Same-solver no prior,equal_weight,0.15998479994610346,11.873500868710916,10.01120250475473,330,82
working_memory,1,3,R0,Same-solver no prior,FC,0.26801576748319283,12.698931716448344,10.359787936362123,330,82
working_memory,1,3,R0,Same-solver no prior,SC,0.12882725845007922,12.657428014429508,10.178328044481805,330,82
working_memory,1,3,R0,Same-solver no prior,FP,0.26887670264468105,12.661171872865676,10.316930195869482,330,82
working_memory,1,3,R0,Same-solver no prior,fused,0.27252512128730033,12.046413369211766,9.8261619701281,330,82
working_memory,1,3,R0,Same-solver no prior,equal_weight,0.26010244739887245,11.911765414709327,9.659846144472686,330,82
working_memory,1,4,R0,Same-solver no prior,FC,0.25915044405047016,11.584411086891313,8.701619924197324,330,82
working_memory,1,4,R0,Same-solver no prior,SC,0.1880710165876515,11.300480125656815,8.86949953956614,330,82
working_memory,1,4,R0,Same-solver no prior,FP,0.31655298654292696,10.587709541268469,8.088440002793869,330,82
working_memory,1,4,R0,Same-solver no prior,fused,0.28575138236236153,10.711727167521708,8.283822561404769,330,82
working_memory,1,4,R0,Same-solver no prior,equal_weight,0.2840966121904766,10.648422094055423,8.271327825245372,330,82
working_memory,2,0,R0,Same-solver no prior,FC,0.33633522058744836,12.801379231240663,10.585895526824556,329,83
working_memory,2,0,R0,Same-solver no prior,SC,0.14680313951390953,12.773319090568899,10.7992868901525,329,83
working_memory,2,0,R0,Same-solver no prior,FP,0.33869906639818503,12.714566330363171,10.510918674031918,329,83
working_memory,2,0,R0,Same-solver no prior,fused,0.34254501074393084,12.326888329195821,10.097655797001096,329,83
working_memory,2,0,R0,Same-solver no prior,equal_weight,0.3372998154851362,11.846892763815633,9.636909653740977,329,83
working_memory,2,1,R0,Same-solver no prior,FC,0.36602557910438005,11.46037854755019,9.36400566789761,329,83
working_memory,2,1,R0,Same-solver no prior,SC,0.19298499084545145,11.47370910974906,9.329511076590814,329,83
working_memory,2,1,R0,Same-solver no prior,FP,0.38618555330142934,10.397958563217342,8.388473434827086,329,83
working_memory,2,1,R0,Same-solver no prior,fused,0.37379220425452986,11.077490997358616,9.015587617796847,329,83
working_memory,2,1,R0,Same-solver no prior,equal_weight,0.379868025337987,10.365204587291258,8.47926187618056,329,83
working_memory,2,2,R0,Same-solver no prior,FC,0.26177983450531245,13.097718345761852,10.185070601357069,330,82
working_memory,2,2,R0,Same-solver no prior,SC,0.13045294930776022,12.15196265514668,9.602792313882993,330,82
working_memory,2,2,R0,Same-solver no prior,FP,0.251852486487976,11.906655711671208,9.207853944511733,330,82
working_memory,2,2,R0,Same-solver no prior,fused,0.270621910843033,12.223890306721698,9.446649580663168,330,82
working_memory,2,2,R0,Same-solver no prior,equal_weight,0.27149567184809276,11.510851495725888,9.053167298988788,330,82
working_memory,2,3,R0,Same-solver no prior,FC,0.27429204345693337,12.110199729884673,9.853876113749502,330,82
working_memory,2,3,R0,Same-solver no prior,SC,0.2602030814016132,11.237849169200711,9.556014525580801,330,82
working_memory,2,3,R0,Same-solver no prior,FP,0.29703179405367885,10.955796538068833,9.410530247191911,330,82
working_memory,2,3,R0,Same-solver no prior,fused,0.29909869675467377,11.399317571356336,9.333254911371633,330,82
working_memory,2,3,R0,Same-solver no prior,equal_weight,0.3217508318711218,10.999045187330847,9.235804026336195,330,82
working_memory,2,4,R0,Same-solver no prior,FC,0.2328051661020903,12.06732174960654,9.827188706921913,330,82
working_memory,2,4,R0,Same-solver no prior,SC,0.03266357714682908,12.19528734184252,9.502382390788533,330,82
working_memory,2,4,R0,Same-solver no prior,FP,0.2507771369626425,10.956356253948822,9.039099018180115,330,82
working_memory,2,4,R0,Same-solver no prior,fused,0.19375360506499126,11.178589644003182,8.911311901004431,330,82
working_memory,2,4,R0,Same-solver no prior,equal_weight,0.19375360506499126,11.178589644003182,8.911311901004431,330,82
working_memory,3,0,R0,Same-solver no prior,FC,0.16178700074653538,11.44663321248821,9.710457178039363,329,83
working_memory,3,0,R0,Same-solver no prior,SC,0.14503629664146206,10.488011964086983,8.51415615263242,329,83
working_memory,3,0,R0,Same-solver no prior,FP,0.23432069483442025,10.054323953018613,8.5606079759465,329,83
working_memory,3,0,R0,Same-solver no prior,fused,0.19824777835079976,10.080811614777705,8.405672472303742,329,83
working_memory,3,0,R0,Same-solver no prior,equal_weight,0.1975965889111228,10.12392878111596,8.442089131087466,329,83
working_memory,3,1,R0,Same-solver no prior,FC,0.13672259970906078,13.912617491150696,11.67243746245386,329,83
working_memory,3,1,R0,Same-solver no prior,SC,0.14391514556941717,12.973851903833829,10.994247992409905,329,83
working_memory,3,1,R0,Same-solver no prior,FP,0.16706819876024537,12.879121030496558,11.09180604969281,329,83
working_memory,3,1,R0,Same-solver no prior,fused,0.17837269036692815,12.763348897596458,10.904200106392874,329,83
working_memory,3,1,R0,Same-solver no prior,equal_weight,0.18561426497173106,12.63021471037545,10.800283715151357,329,83
working_memory,3,2,R0,Same-solver no prior,FC,0.13799033953099718,13.85993567231044,11.398909844445312,330,82
working_memory,3,2,R0,Same-solver no prior,SC,0.015187945699944638,13.308977690958285,10.521067213323125,330,82
working_memory,3,2,R0,Same-solver no prior,FP,0.1531739041701704,12.56502790035304,9.946771248051306,330,82
working_memory,3,2,R0,Same-solver no prior,fused,0.1242724595290071,12.836436092815822,10.11636207437607,330,82
working_memory,3,2,R0,Same-solver no prior,equal_weight,0.10896322095023056,12.66272328203238,9.869261277063897,330,82
working_memory,3,3,R0,Same-solver no prior,FC,0.49680163168673885,10.441939429255276,8.252199186361286,330,82
working_memory,3,3,R0,Same-solver no prior,SC,0.27776944495556943,11.822095568877748,9.642974999338033,330,82
working_memory,3,3,R0,Same-solver no prior,FP,0.47564202934589095,10.856475692788187,8.906200239635687,330,82
working_memory,3,3,R0,Same-solver no prior,fused,0.49680163168673885,10.441939429255276,8.252199186361286,330,82
working_memory,3,3,R0,Same-solver no prior,equal_weight,0.4575857645615943,10.588681913347626,8.558213858471282,330,82
working_memory,3,4,R0,Same-solver no prior,FC,0.3647372701336913,12.109710730506002,9.70940420241633,330,82
working_memory,3,4,R0,Same-solver no prior,SC,0.059176055671054426,11.885404443432375,9.558159548335377,330,82
