task,seed,outer_fold,condition,model,pearson,rmse,mae,n_train,n_test
working_memory,0,0,R0,FC,0.1096029516007761,12.547446463935351,10.392120054882012,329,83
working_memory,0,0,R0,SC,0.023785645476149364,10.857320783613266,8.995294779982327,329,83
working_memory,0,0,R0,FP,0.1964792714174451,10.434480636178566,8.754485183102082,329,83
working_memory,0,0,R0,fused,0.10702666823993774,11.198542577259946,9.221272100868953,329,83
working_memory,0,0,R0,equal_weight,0.09765510126604021,10.660919398405271,8.772729258711843,329,83
working_memory,0,1,R0,FC,0.2237641420265108,12.214787373731113,10.129159698366971,329,83
working_memory,0,1,R0,SC,0.21558221350616558,11.216293245520712,8.864305298276777,329,83
working_memory,0,1,R0,FP,0.18577704988066915,11.449049495043635,9.287734032482229,329,83
working_memory,0,1,R0,fused,0.25239524027292115,11.30809743698019,9.31831013027532,329,83
working_memory,0,1,R0,equal_weight,0.27405138855229266,10.810386082891414,8.694171265442433,329,83
working_memory,0,2,R0,FC,0.1685160003819302,13.299255478325943,10.101068328393021,330,82
working_memory,0,2,R0,SC,0.2031359119450421,12.176341208668152,9.596286342811371,330,82
working_memory,0,2,R0,FP,0.1693858915200235,13.237791924970349,10.064434071029497,330,82
working_memory,0,2,R0,fused,0.21915295637139817,12.130781227520037,9.197707254522086,330,82
working_memory,0,2,R0,equal_weight,0.23733595800101565,11.87081608723011,9.056577321046989,330,82
working_memory,0,3,R0,FC,0.41148067169408975,11.0103425177745,9.358325458676655,330,82
working_memory,0,3,R0,SC,0.13368703342062013,11.896707163315615,9.864810877442466,330,82
working_memory,0,3,R0,FP,0.437743180946877,10.297719669166671,8.793502115904943,330,82
working_memory,0,3,R0,fused,0.40296651458738003,10.524664074569488,8.85165107928133,330,82
working_memory,0,3,R0,equal_weight,0.38583585380504326,10.584174906132606,8.932522967029,330,82
working_memory,0,4,R0,FC,0.29188663649529883,13.756908616324663,11.435498620341678,330,82
working_memory,0,4,R0,SC,0.1966043792971892,13.798974767477036,11.040710069044442,330,82
working_memory,0,4,R0,FP,0.3393183256371628,12.92529324367363,10.71693423447126,330,82
working_memory,0,4,R0,fused,0.3197125743215864,13.110914509263706,10.942902540413671,330,82
working_memory,0,4,R0,equal_weight,0.32702958989178244,12.990599811815553,10.765088046788728,330,82
working_memory,1,0,R0,FC,0.48838527459024383,10.523026081139273,9.017446374058048,329,83
working_memory,1,0,R0,SC,0.26691832496707435,11.031901405780012,9.140436510853709,329,83
working_memory,1,0,R0,FP,0.505248146258738,9.69442170755156,8.142115384281151,329,83
working_memory,1,0,R0,fused,0.5091417281527253,9.64887210483868,8.252252658418183,329,83
working_memory,1,0,R0,equal_weight,0.5091417281527253,9.64887210483868,8.252252658418183,329,83
working_memory,1,1,R0,FC,0.13260232716977488,13.340319199044513,10.494777683755485,329,83
working_memory,1,1,R0,SC,-0.003393335705033279,13.012315515617694,10.47765455802252,329,83
working_memory,1,1,R0,FP,0.12353342742996776,12.499277178102123,10.125600794299928,329,83
working_memory,1,1,R0,fused,0.1046026576541091,12.446066747502314,10.01378388143481,329,83
working_memory,1,1,R0,equal_weight,0.09793649213556088,12.42089991142375,10.010215226408578,329,83
working_memory,1,2,R0,FC,0.1814001034684659,12.611181733902807,10.417508403277436,330,82
working_memory,1,2,R0,SC,0.05647282272038237,12.679914024361944,10.68263963552131,330,82
working_memory,1,2,R0,FP,0.2545236412639779,11.365375023902624,9.617401945366128,330,82
working_memory,1,2,R0,fused,0.14440260380515077,11.912644372509872,10.065985724414478,330,82
working_memory,1,2,R0,equal_weight,0.15998479994610346,11.873500868710916,10.01120250475473,330,82
working_memory,1,3,R0,FC,0.26801576748319283,12.698931716448344,10.359787936362123,330,82
working_memory,1,3,R0,SC,0.12882725845007922,12.657428014429508,10.178328044481805,330,82
working_memory,1,3,R0,FP,0.26887670264467634,12.66117187286571,10.31693019586949,330,82
working_memory,1,3,R0,fused,0.27252512128730033,12.046413369211766,9.8261619701281,330,82
working_memory,1,3,R0,equal_weight,0.26010244739887245,11.911765414709327,9.659846144472686,330,82
